Target Time,Load Intensity,Successful Transactions,Failed Transactions,Dropped Transactions,Avg Response Time,Final Batch Dispatch Time,Watts(Utilization of 10.1.234.186),12.04.2019;07:44:54088
0.5,49.0,1,0,0,0.045,0.498,0.08278145695364239
1.5,49.0,96,0,0,0.227,1.481,0.7659574468085106
2.5,49.0,48,0,0,0.047,2.482,0.8969072164948454
3.5,49.0,51,0,0,0.022,3.489,0.5670103092783505
4.5,49.0,47,0,0,0.02,4.478,0.6428571428571429
5.5,49.0,51,0,0,0.019,5.52,0.594059405940594
6.5,49.0,47,0,0,0.021,6.472,0.6276595744680851
7.5,49.0,49,0,0,0.012,7.506,0.53
8.5,49.0,48,0,0,0.018,8.478,0.5684210526315789
9.5,49.0,51,0,0,0.014,9.477,0.5052631578947369
10.5,49.0,50,0,0,0.014,10.492,0.48484848484848486
11.5,49.0,49,0,0,0.008,11.473,0.3684210526315789
12.5,49.0,49,0,0,0.011,12.505,0.48
13.5,49.0,49,0,0,0.011,13.482,0.425531914893617
14.5,49.0,49,0,0,0.01,14.515,0.42
15.5,49.0,48,0,0,0.01,15.494,0.4842105263157895
16.5,49.0,50,0,0,0.019,16.506,0.6530612244897959
17.5,49.0,49,0,0,0.017,17.492,0.5368421052631579
18.5,49.0,49,0,0,0.01,18.487,0.38144329896907214
19.5,49.0,48,0,0,0.009,19.484,0.41237113402061853
20.5,49.0,49,0,0,0.012,20.491,0.4948453608247423
21.5,49.0,49,0,0,0.013,21.485,0.5154639175257731
22.5,49.0,49,0,0,0.017,22.499,0.58
23.5,49.0,50,0,0,0.022,23.495,0.6836734693877551
24.5,49.0,46,0,0,0.029,24.505,0.8061224489795918
25.5,49.0,52,0,0,0.062,25.499,0.8247422680412371
26.5,49.0,49,0,0,0.024,26.502,0.5714285714285714
27.5,49.0,46,0,0,0.022,27.481,0.7021276595744681
28.5,49.0,52,0,0,0.025,28.479,0.6494845360824743
29.5,49.0,46,0,0,0.035,29.476,0.7938144329896907
30.5,49.0,52,0,0,0.026,30.486,0.6185567010309279
31.5,49.0,49,0,0,0.024,31.489,0.6354166666666666
32.5,49.0,49,0,0,0.017,32.503,0.6020408163265306
33.5,49.0,47,0,0,0.012,33.499,0.47474747474747475
34.5,49.0,49,0,0,0.02,34.462,0.6559139784946236
35.5,49.0,51,0,0,0.019,35.481,0.6122448979591837
36.5,49.0,49,0,0,0.02,36.491,0.6632653061224489
37.5,49.0,45,0,0,0.032,37.49,0.8
38.5,49.0,53,0,0,0.023,38.511,0.59
39.5,49.0,47,0,0,0.023,39.504,0.65625
40.5,49.0,51,0,0,0.022,40.494,0.6
41.5,49.0,46,0,0,0.054,41.467,0.8085106382978723
42.5,50.0,51,0,0,0.012,42.476,0.41836734693877553
43.5,50.0,52,0,0,0.035,43.495,0.72
44.5,50.0,50,0,0,0.019,44.492,0.6288659793814433
45.5,50.0,48,0,0,0.024,45.488,0.7422680412371134
46.5,50.0,49,0,0,0.015,46.474,0.5531914893617021
